Exchange,Nodes,NodeIDs,HasNDD,AssignedValue
502,5,15;19;23;54;109,Yes,0.72171
503,5,15;19;23;59;109,Yes,0.851683
504,5,15;19;23;60;109,Yes,0.851683
505,5,15;19;23;64;109,Yes,0.851683
506,5,15;19;23;70;109,Yes,0.851683
507,5,15;19;23;75;109,Yes,0.851683
508,5,15;19;23;79;109,Yes,0.72171
509,5,15;19;23;81;109,Yes,0.851683
510,5,15;19;23;84;109,Yes,0.851683
511,5,15;19;23;85;109,Yes,0.851683
512,5,15;19;23;91;109,Yes,1.37781
513,5,15;19;23;92;109,Yes,0.851683
514,5,15;19;23;93;109,Yes,0.851683
515,5,15;19;23;95;109,Yes,0.851683
516,5,15;19;23;96;109,Yes,0.851683
517,5,15;19;23;99;109,Yes,0.851683
518,5,15;19;23;100;109,Yes,0.851683
519,5,15;19;23;101;109,Yes,0.72171
520,5,15;19;23;102;109,Yes,0.851683
521,5,15;19;23;103;109,Yes,0.851683
522,5,15;19;23;108;109,Yes,0.851683
523,4,15;19;34;109,Yes,0.851683
524,5,15;19;34;35;109,Yes,0.886906
525,5,15;19;34;43;109,Yes,0.886906
526,5,15;19;34;44;109,Yes,0.886906
527,5,15;19;34;47;109,Yes,0.886906
528,5,15;19;34;54;109,Yes,0.851683
529,5,15;19;34;59;109,Yes,0.886906
530,5,15;19;34;60;109,Yes,0.886906
531,5,15;19;34;64;109,Yes,0.886906
532,5,15;19;34;70;109,Yes,0.886906
533,5,15;19;34;75;109,Yes,0.886906
534,5,15;19;34;79;109,Yes,0.851683
535,5,15;19;34;81;109,Yes,0.886906
536,5,15;19;34;84;109,Yes,0.886906
537,5,15;19;34;85;109,Yes,0.886906
538,5,15;19;34;91;109,Yes,1.50778
539,5,15;19;34;92;109,Yes,0.886906
540,5,15;19;34;93;109,Yes,0.886906
541,5,15;19;34;95;109,Yes,0.886906
542,5,15;19;34;96;109,Yes,0.886906
543,5,15;19;34;99;109,Yes,0.886906
544,5,15;19;34;100;109,Yes,0.886906
545,5,15;19;34;101;109,Yes,0.851683
546,5,15;19;34;102;109,Yes,0.886906
547,5,15;19;34;103;109,Yes,0.886906
548,5,15;19;34;108;109,Yes,1.3652
549,4,15;19;35;109,Yes,0.851683
550,5,15;19;35;43;109,Yes,0.886906
551,5,15;19;35;44;109,Yes,0.886906
552,5,15;19;35;47;109,Yes,0.886906
553,5,15;19;35;54;109,Yes,0.851683
554,5,15;19;35;59;109,Yes,0.886906
555,5,15;19;35;60;109,Yes,0.886906
556,5,15;19;35;64;109,Yes,0.886906
557,5,15;19;35;70;109,Yes,0.886906
558,5,15;19;35;75;109,Yes,0.886906
559,5,15;19;35;79;109,Yes,0.851683
560,5,15;19;35;81;109,Yes,0.886906
561,5,15;19;35;84;109,Yes,0.886906
562,5,15;19;35;85;109,Yes,0.886906
563,5,15;19;35;91;109,Yes,1.50778
564,5,15;19;35;92;109,Yes,0.886906
565,5,15;19;35;93;109,Yes,0.886906
566,5,15;19;35;95;109,Yes,0.886906
567,5,15;19;35;96;109,Yes,0.886906
568,5,15;19;35;99;109,Yes,0.886906
569,5,15;19;35;100;109,Yes,0.886906
570,5,15;19;35;101;109,Yes,0.851683
571,5,15;19;35;102;109,Yes,0.886906
572,5,15;19;35;103;109,Yes,0.886906
573,5,15;19;35;108;109,Yes,0.886906
574,4,15;19;43;109,Yes,0.851683
575,5,15;19;43;44;109,Yes,0.886906
576,5,15;19;43;47;109,Yes,0.886906
577,5,15;19;43;54;109,Yes,0.851683
578,5,15;19;43;59;109,Yes,0.886906
579,5,15;19;43;60;109,Yes,0.886906
580,5,15;19;43;64;109,Yes,0.886906
581,5,15;19;43;70;109,Yes,0.886906
582,5,15;19;43;75;109,Yes,0.886906
583,5,15;19;43;79;109,Yes,0.851683
584,5,15;19;43;81;109,Yes,0.886906
585,5,15;19;43;84;109,Yes,0.886906
586,5,15;19;43;85;109,Yes,0.886906
587,5,15;19;43;91;109,Yes,1.50778
588,5,15;19;43;92;109,Yes,0.886906
589,5,15;19;43;93;109,Yes,0.886906
590,5,15;19;43;95;109,Yes,0.886906
591,5,15;19;43;96;109,Yes,0.886906
592,5,15;19;43;99;109,Yes,0.886906
593,5,15;19;43;100;109,Yes,0.886906
594,5,15;19;43;101;109,Yes,0.851683
595,5,15;19;43;102;109,Yes,0.886906
596,5,15;19;43;103;109,Yes,0.886906
597,5,15;19;43;108;109,Yes,0.886906
598,4,15;19;44;109,Yes,0.851683
599,5,15;19;44;47;109,Yes,1.3652
600,5,15;19;44;54;109,Yes,0.851683
601,5,15;19;44;59;109,Yes,1.3652
602,5,15;19;44;60;109,Yes,1.3652
603,5,15;19;44;64;109,Yes,1.3652
604,5,15;19;44;70;109,Yes,0.886906
605,5,15;19;44;75;109,Yes,0.886906
606,5,15;19;44;79;109,Yes,0.851683
607,5,15;19;44;81;109,Yes,1.3652
